Average reception service time (min),Average nurse service time(min),Average cubicle service time(hours),Average bed service time(hours),Average reception queue time(min),Average nurse queue time(min),Average cubicle queue time(min),Average bed queue time(min),Total time operating(days),Total patients,Total deceased,Total recovered,Ration deceased,Ratio recovered,Total ratio,Receptionist bill ($),Nurse bill ($),Cubicle bill ($),Bed bill ($),Total expenditure ($),Total revenue ($),Total profit ($)
7.34,25.0,0.91,3.13,1.51,3.21,0.7,17.11,6.99,265,72.0,193.0,0.27169811320754716,0.7283018867924528,1.0,22648.15,70460.91,161053.52,483160.55,737323.13,1987500,1250176.87
7.08,24.27,0.98,3.12,2.05,3.72,2.32,8.94,7.0,265,67.0,198.0,0.2528301886792453,0.7471698113207547,1.0,22670.54,70530.58,161212.76,483638.28,738052.17,1987500,1249447.83
6.73,26.35,1.09,2.7,2.62,5.63,6.08,5.7,7.0,313,79.0,234.0,0.2523961661341853,0.7476038338658147,1.0,22665.77,70515.74,161178.83,483536.48,737896.81,2347500,1609603.19
7.16,27.9,1.09,3.07,1.55,6.52,10.12,36.33,6.95,293,76.0,217.0,0.2593856655290102,0.7406143344709898,1.0,22508.95,70027.83,160063.62,480190.86,732791.26,2197500,1464708.74
7.46,27.3,1.09,3.2,2.42,8.06,6.95,15.55,6.91,302,79.0,223.0,0.26158940397350994,0.7384105960264901,1.0,22377.62,69619.25,159129.72,477389.16,728515.75,2265000,1536484.25
7.32,24.65,1.01,3.06,1.83,5.14,2.11,25.23,6.99,296,70.0,226.0,0.23648648648648649,0.7635135135135135,1.0,22657.09,70488.71,161117.06,483351.18,737614.04,2220000,1482385.96
7.22,27.4,1.08,3.03,1.96,5.27,4.53,27.47,6.99,315,79.0,236.0,0.2507936507936508,0.7492063492063492,1.0,22641.66,70440.72,161007.35,483022.06,737111.79,2362500,1625388.21
7.62,24.25,1.09,2.81,2.67,7.25,5.51,5.05,6.98,304,66.0,238.0,0.21710526315789475,0.7828947368421053,1.0,22625.18,70389.46,160890.2,482670.59,736575.43,2280000,1543424.57
6.79,24.49,1.0,3.1,2.3,3.95,4.11,13.5,6.97,293,84.0,209.0,0.28668941979522183,0.7133105802047781,1.0,22584.9,70264.14,160603.74,481811.23,735264.01,2197500,1462235.99
6.87,24.58,0.96,3.04,2.46,5.96,2.74,13.54,7.0,309,90.0,219.0,0.2912621359223301,0.7087378640776699,1.0,22675.59,70546.27,161248.62,483745.85,738216.32,2317500,1579283.68
